timestamp,position,velocity,acceleration,attitude,body_rate,actuator
244646249,0,0,0,0,0,1
244667755,0,0,0,0,0,1
244748518,0,0,0,0,0,1
244846294,0,0,0,0,0,1
244949530,0,0,0,0,0,1
245047156,0,0,0,0,0,1
245146675,0,0,0,0,0,1
245245834,0,0,0,0,0,1
245346543,0,0,0,0,0,1
245448270,0,0,0,0,0,1
245549568,0,0,0,0,0,1
245647312,0,0,0,0,0,1
245743187,0,0,0,0,0,1
245847734,0,0,0,0,0,1
245946909,0,0,0,0,0,1
246047745,0,0,0,0,0,1
246148546,0,0,0,0,0,1
246245670,0,0,0,0,0,1
246347078,0,0,0,0,0,1
246447126,0,0,0,0,0,1
246548663,0,0,0,0,0,1
246647361,0,0,0,0,0,1
246748653,0,0,0,0,0,1
246849152,0,0,0,0,0,1
246946000,0,0,0,0,0,1
247045897,0,0,0,0,0,1
247147162,0,0,0,0,0,1
247247603,0,0,0,0,0,1
247348074,0,0,0,0,0,1
247448402,0,0,0,0,0,1
247550733,0,0,0,0,0,1
247647745,0,0,0,0,0,1
247750898,0,0,0,0,0,1
247845438,0,0,0,0,0,1
247947766,0,0,0,0,0,1
248045996,0,0,0,0,0,1
248148224,0,0,0,0,0,1
248249152,0,0,0,0,0,1
248343329,0,0,0,0,0,1
248447323,0,0,0,0,0,1
248546534,0,0,0,0,0,1
248647920,0,0,0,0,0,1
248747810,0,0,0,0,0,1
248847351,0,0,0,0,0,1
248945538,0,0,0,0,0,1
249048408,0,0,0,0,0,1
249146774,0,0,0,0,0,1
249247779,0,0,0,0,0,1
249346163,0,0,0,0,0,1
249446450,0,0,0,0,0,1
249549696,0,0,0,0,0,1
249649906,0,0,0,0,0,1
249748955,0,0,0,0,0,1
249847047,0,0,0,0,0,1
249944946,0,0,0,0,0,1
250047794,0,0,0,0,0,1
250144929,0,0,0,0,0,1
250249224,0,0,0,0,0,1
250345951,0,0,0,0,0,1
250446528,0,0,0,0,0,1
250549351,0,0,0,0,0,1
250646880,0,0,0,0,0,1
250750278,0,0,0,0,0,1
250844631,0,0,0,0,0,1
250947301,0,0,0,0,0,1
251048801,0,0,0,0,0,1
251147266,0,0,0,0,0,1
251246799,0,0,0,0,0,1
251348075,0,0,0,0,0,1
251448182,0,0,0,0,0,1
251547113,0,0,0,0,0,1
251645852,0,0,0,0,0,1
251746740,0,0,0,0,0,1
251846930,0,0,0,0,0,1
251948189,0,0,0,0,0,1
252044591,0,0,0,0,0,1
252146867,0,0,0,0,0,1
252245164,0,0,0,0,0,1
252348203,0,0,0,0,0,1
252447953,0,0,0,0,0,1
252545369,0,0,0,0,0,1
252647685,0,0,0,0,0,1
252744506,0,0,0,0,0,1
252847036,0,0,0,0,0,1
252945910,0,0,0,0,0,1
253046440,0,0,0,0,0,1
253150144,0,0,0,0,0,1
253243681,0,0,0,0,0,1
253348336,0,0,0,0,0,1
253448142,0,0,0,0,0,1
253549649,0,0,0,0,0,1
253641404,0,0,0,0,0,1
253747698,0,0,0,0,0,1
253848521,0,0,0,0,0,1
253945334,0,0,0,0,0,1
254048127,0,0,0,0,0,1
254146932,0,0,0,0,0,1
254247555,0,0,0,0,0,1
254346093,0,0,0,0,0,1
254447598,0,0,0,0,0,1
254547091,0,0,0,0,0,1
254647863,0,0,0,0,0,1
254748221,0,0,0,0,0,1
254846897,0,0,0,0,0,1
254947998,0,0,0,0,0,1
255043882,0,0,0,0,0,1
255145488,0,0,0,0,0,1
255245120,0,0,0,0,0,1
255346671,0,0,0,0,0,1
255446934,0,0,0,0,0,1
255545707,0,0,0,0,0,1
255648682,0,0,0,0,0,1
255744999,0,0,0,0,0,1
255846440,0,0,0,0,0,1
255949832,0,0,0,0,0,1
256048260,0,0,0,0,0,1
256149577,0,0,0,0,0,1
