timestamp,position,velocity,acceleration,attitude,body_rate,actuator
956252129,0,0,0,0,0,1
956254928,0,0,0,0,0,1
956354347,0,0,0,0,0,1
956454147,0,0,0,0,0,1
956550861,0,0,0,0,0,1
956655440,0,0,0,0,0,1
956752575,0,0,0,0,0,1
956851744,0,0,0,0,0,1
956954353,0,0,0,0,0,1
957051840,0,0,0,0,0,1
957152835,0,0,0,0,0,1
957251933,0,0,0,0,0,1
957355822,0,0,0,0,0,1
957451605,0,0,0,0,0,1
957551382,0,0,0,0,0,1
957652759,0,0,0,0,0,1
957752814,0,0,0,0,0,1
957853938,0,0,0,0,0,1
957952154,0,0,0,0,0,1
958052830,0,0,0,0,0,1
958151518,0,0,0,0,0,1
958250367,0,0,0,0,0,1
958353945,0,0,0,0,0,1
958451881,0,0,0,0,0,1
958554052,0,0,0,0,0,1
958651213,0,0,0,0,0,1
958751904,0,0,0,0,0,1
958848779,0,0,0,0,0,1
958953439,0,0,0,0,0,1
959055832,0,0,0,0,0,1
959151614,0,0,0,0,0,1
959252981,0,0,0,0,0,1
959350304,0,0,0,0,0,1
959455030,0,0,0,0,0,1
959550209,0,0,0,0,0,1
959653693,0,0,0,0,0,1
959753369,0,0,0,0,0,1
959850567,0,0,0,0,0,1
959954341,0,0,0,0,0,1
960053378,0,0,0,0,0,1
960153937,0,0,0,0,0,1
960249750,0,0,0,0,0,1
960350401,0,0,0,0,0,1
960454422,0,0,0,0,0,1
960551285,0,0,0,0,0,1
960654077,0,0,0,0,0,1
960750282,0,0,0,0,0,1
960854225,0,0,0,0,0,1
960950998,0,0,0,0,0,1
961051077,0,0,0,0,0,1
961153500,0,0,0,0,0,1
961252777,0,0,0,0,0,1
961355128,0,0,0,0,0,1
961451794,0,0,0,0,0,1
961554743,0,0,0,0,0,1
961651459,0,0,0,0,0,1
961753317,0,0,0,0,0,1
961854115,0,0,0,0,0,1
961951457,0,0,0,0,0,1
962053837,0,0,0,0,0,1
962151386,0,0,0,0,0,1
962254065,0,0,0,0,0,1
962350609,0,0,0,0,0,1
962451739,0,0,0,0,0,1
962555268,0,0,0,0,0,1
962651590,0,0,0,0,0,1
962756423,0,0,0,0,0,1
962849417,0,0,0,0,0,1
962953229,0,0,0,0,0,1
963050446,0,0,0,0,0,1
963152346,0,0,0,0,0,1
963255345,0,0,0,0,0,1
963352910,0,0,0,0,0,1
963455372,0,0,0,0,0,1
963550200,0,0,0,0,0,1
963651789,0,0,0,0,0,1
963750631,0,0,0,0,0,1
963853346,0,0,0,0,0,1
963956957,0,0,0,0,0,1
964052264,0,0,0,0,0,1
964154606,0,0,0,0,0,1
964248727,0,0,0,0,0,1
964352698,0,0,0,0,0,1
964451060,0,0,0,0,0,1
964553430,0,0,0,0,0,1
964650613,0,0,0,0,0,1
964750592,0,0,0,0,0,1
964852592,0,0,0,0,0,1
964948598,0,0,0,0,0,1
965052587,0,0,0,0,0,1
965151717,0,0,0,0,0,1
965254906,0,0,0,0,0,1
965355618,0,0,0,0,0,1
965451380,0,0,0,0,0,1
965553949,0,0,0,0,0,1
965651539,0,0,0,0,0,1
965753796,0,0,0,0,0,1
965852465,0,0,0,0,0,1
965952538,0,0,0,0,0,1
966055190,0,0,0,0,0,1
966150540,0,0,0,0,0,1
966254797,0,0,0,0,0,1
966352343,0,0,0,0,0,1
966453310,0,0,0,0,0,1
966551930,0,0,0,0,0,1
966649600,0,0,0,0,0,1
966754049,0,0,0,0,0,1
966852908,0,0,0,0,0,1
966955071,0,0,0,0,0,1
967053039,0,0,0,0,0,1
967155237,0,0,0,0,0,1
967251294,0,0,0,0,0,1
967351803,0,0,0,0,0,1
967456736,0,0,0,0,0,1
967551742,0,0,0,0,0,1
967652735,0,0,0,0,0,1
967751872,0,0,0,0,0,1
967852825,0,0,0,0,0,1
967952099,0,0,0,0,0,1
968051471,0,0,0,0,0,1
968153320,0,0,0,0,0,1
968251540,0,0,0,0,0,1
968354084,0,0,0,0,0,1
968450605,0,0,0,0,0,1
968551405,0,0,0,0,0,1
968648993,0,0,0,0,0,1
968749685,0,0,0,0,0,1
968852438,0,0,0,0,0,1
968950532,0,0,0,0,0,1
969049794,0,0,0,0,0,1
969151206,0,0,0,0,0,1
969255748,0,0,0,0,0,1
969351061,0,0,0,0,0,1
969453248,0,0,0,0,0,1
969555749,0,0,0,0,0,1
969651238,0,0,0,0,0,1
969754062,0,0,0,0,0,1
969848562,0,0,0,0,0,1
969952407,0,0,0,0,0,1
970052345,0,0,0,0,0,1
970154274,0,0,0,0,0,1
970254525,0,0,0,0,0,1
970351505,0,0,0,0,0,1
970453436,0,0,0,0,0,1
970550852,0,0,0,0,0,1
970652611,0,0,0,0,0,1
